"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Add new book to the system","0","0","Admin tries to add a book with an integer as the author (BUG EXPECTED)","0"
"0","","0","Add new book to the system","1","0","Admin adds a new book successfully","0"
"0","","1","Add new book to the system","0","0","Admin adds a book with unexpected attributes in the payload (BUG EXPECTED)","0"
"0","","0","Update Book API","1","0","Update a book with invalid ID","0"
"0","","0","Add new book to the system","1","0","User tries to add a new book","0"
"0","","1","Add new book to the system","0","0","Admin sends a POST request with missing values in the payload (BUG EXPECTED)","0"
"0","","1","Update Book API","0","0","Validate that numbers are not accepted in title and author fields","0"
"0","","1","Delete a book by its ID","0","0","User deletes a book by its ID successfully","0"
"0","","0","Delete a book by its ID","1","0","Admin attempts to delete a book but is not permitted","0"
"0","","0","Update Book API","1","0","Successfully update a book","0"
"0","","1","Fetch Book Details","0","0","Retrieve a book by its ID","0"
"0","","1","Update Book API","0","0","validate with empty string for author and title field","0"
"0","","0","Fetch Book Details","1","0","Retrieve all books","0"
"0","","0","Update Book API","1","0","Update a book as a user","0"
"0","","0","Update Book API","1","0","update a book with invalid payload","0"
